Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
183,Jayson Tatum,PF,25,BOS,11,11,39.7,8.1,18.6,0.434,1.8,6.5,0.278,6.3,12.1,0.519,0.483,7.4,8.5,0.862,0.7,9.8,10.5,5.6,1.2,0.7,2.3,2.9,25.4
134,Donovan Mitchell,SG,27,CLE,10,10,38.2,10.7,22.5,0.476,2.9,8.2,0.354,7.8,14.3,0.545,0.54,5.3,6.5,0.815,0.6,4.8,5.4,4.7,1.3,0.3,2.8,2.9,29.6
43,Luka Don?i?,PG,24,DAL,13,13,41.9,9.6,22.5,0.427,2.8,9.5,0.301,6.8,13.1,0.518,0.49,5.6,7.1,0.793,0.9,8.5,9.4,9.0,1.5,0.5,4.1,2.6,27.7
98,Nikola Joki?,C,28,DEN,12,12,40.2,11.1,20.3,0.545,1.2,4.4,0.264,9.9,15.9,0.623,0.574,5.3,5.9,0.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7
176,Pascal Siakam,PF,29,IND,14,14,35.4,9.1,16.9,0.536,0.9,2.8,0.308,8.2,14.1,0.581,0.561,2.3,3.9,0.593,2.4,5.4,7.9,3.8,0.9,0.5,0.9,2.9,21.3
66,James Harden,PG,34,LAC,6,6,40.3,6.7,14.8,0.449,3.0,7.8,0.383,3.7,7.0,0.524,0.551,4.8,5.3,0.906,0.5,4.0,4.5,8.0,1.0,1.0,2.3,2.2,21.2
38,Anthony Davis,C,30,LAL,5,5,41.6,11.8,18.6,0.634,0.0,1.0,0.0,11.8,17.6,0.67,0.634,4.2,5.2,0.808,3.0,12.6,15.6,4.0,0.4,1.6,2.2,3.8,27.8
2,Bam Adebayo,C,26,MIA,5,5,38.4,9.6,19.4,0.495,0.4,2.0,0.2,9.2,17.4,0.529,0.505,3.0,4.2,0.714,2.2,7.2,9.4,3.8,0.4,0.0,1.6,3.0,22.6
110,Damian Lillard,PG,33,MIL,4,4,39.0,8.5,20.3,0.42,5.0,12.0,0.417,3.5,8.3,0.424,0.543,9.3,9.5,0.974,0.5,2.8,3.3,5.0,1.0,0.0,2.3,2.0,31.3
46,Anthony Edwards,SG,22,MIN,12,12,40.2,9.9,20.0,0.496,3.2,7.9,0.4,6.8,12.1,0.559,0.575,5.1,6.0,0.847,0.9,5.7,6.6,6.1,1.8,0.6,3.2,2.2,28.1
122,CJ McCollum,PG,32,NOP,4,4,37.0,7.8,18.5,0.419,1.8,7.3,0.241,6.0,11.3,0.533,0.466,0.5,0.5,1.0,0.5,4.3,4.8,4.8,1.8,0.8,4.0,3.5,17.8
28,Jalen Brunson,PG,27,NYK,13,13,39.8,11.6,26.2,0.444,2.0,6.5,0.31,9.6,19.7,0.488,0.482,7.2,9.2,0.775,0.6,2.7,3.3,7.5,0.8,0.2,2.7,2.0,32.4
57,Shai Gilgeous-Alexander,PG,25,OKC,10,10,39.9,11.1,22.4,0.496,1.6,3.7,0.432,9.5,18.7,0.508,0.531,6.4,8.1,0.79,0.8,6.4,7.2,6.4,1.3,1.7,2.2,3.1,30.2
11,Paolo Banchero,PF,21,ORL,7,7,37.4,9.7,21.3,0.456,2.3,5.7,0.4,7.4,15.6,0.477,0.51,5.3,7.0,0.755,2.0,6.6,8.6,4.0,1.1,0.6,4.6,2.0,27.0
47,Joel Embiid,C,29,PHI,6,6,41.3,9.8,22.2,0.444,2.2,6.5,0.333,7.7,15.7,0.489,0.492,11.2,13.0,0.859,3.2,7.7,10.8,5.7,1.2,1.5,4.2,3.3,33.0
21,Devin Booker,PG,27,PHO,4,4,41.5,8.0,16.3,0.492,1.8,5.0,0.35,6.3,11.3,0.556,0.546,9.8,10.3,0.951,0.3,3.0,3.3,6.0,1.8,0.3,2.8,4.5,27.5
